ID,Nombre,Mitologia,Tipo,Era,Coste,Fuerza,Poder,Claves,Texto - Habilidades,Leyenda,URL-IMG,URL-IMG-BACK
0150,Kremlin,,Recurso,Era I,1,,,Único · Punto de poder,INFLUENCIA: Cansa Kremlin; revela la carta superior de un oráculo.,,GDM/Recursos/Kremlin.png,
0151,Palacio de Moctezuma,,Recurso,Era I,2,,,,INFLUENCIA: Copia la habilidad de un recurso de un contrario.,,GDM/Recursos/Palacio de Moctezuma.png,
0152,Pirámide de la Luna,,Recurso,Era I,3,,,Templo,INFLUENCIA: Cansa Pirámide de la Luna; prepara a tu personaje.,,GDM/Recursos/Pirámide de la Luna.png,
0153,Monumento,,Recurso,Era I,1,,,,ENFRENTAMIENTO: Cansa Monumento; da +1F a uno de tus personajes.,,GDM/Recursos/Monumento.png,
0154,Herrería,,Recurso,Era I,2,,,,INFLUENCIA: Cansa Herrería; crea un arma de +1F y equípasela a uno de tus personajes.,,GDM/Recursos/Herrería.png,
0155,Wabi-Sabi,,Recurso,Era I,1,,,,INFLUENCIA: Cansa Wabi-Sabi; elimina 1P de tu personaje; gana 1P. INFLUENCIA: Cansa Wabi-Sabi; elimina 1P; gana 1P en tu personaje.,,GDM/Recursos/Wabi-Sabi.png,
0156,Carcosa,Primigenia,Recurso,Era I,3,,,Única · Mitos de Cthulhu,INFLUENCIA: Cansa Carcosa; gana 2P en un dios en tu oráculo.,,GDM/Recursos/Carcosa.png,
0157,Celaeno,,Recurso,Era I,1,,,Biblioteca,INFLUENCIA: Cansa celaeno; da +1PM permanente a tu personaje on la clave invocador.,,GDM/Recursos/Celaeno.png,
0158,Manicomio,,Recurso,Era I,1,,,Biblioteca,INFLUENCIA: Cansa Manicomio; da la clave Loco a tu personaje. INFLUENCIA: Cansa Manicomio; da +1F a tu personaje con la clave Loco.,,GDM/Recursos/Manicomio.png,
0159,Miskatonic,,Recurso,Era I,1,,,Biblioteca,INFLUENCIA: Cansa Miskatonic; mira la primera carta de tu mazo de designios; si es una invocación; muéstrala y ponla en tu mano.,,GDM/Recursos/Miskatonic.png,
0160,Meseta de Leng,,Recurso,Era I,2,,,Único,INFLUENCIA: Cansa Meseta de Leng; da -2PM a todos los personajes hasta el principio del turno siguiente.,,GDM/Recursos/Meseta de Leng.png,
0161,Flegetonte,,Recurso,Era I,2,,,,INFLUENCIA: Cansa Flegetonte; da -1PM (permanente) a un personaje enemigo.,,GDM/Recursos/Flegetonte.png,
0162,Westminster,,Recurso,Era I,2,,,Único · Punto de Poder,INFLUENCIA: Cansa Westminster; elimina 1P de un personaje en un panteón o un oráculo.,,GDM/Recursos/Westminster.png,
0163,Huey Teocalli,Azteca,Recurso,Era I,3,,,Templo · Azteca · Único,"INFLUENCIA: Cansa Huey Teocalli, elimina 1P de uno de tus personajes; gana 3P;",,GDM/Recursos/Huey Teocalli.png,
0164,Casa de té,,Recurso,Era I,2,,,,INFLUENCIA: Cansa Casa de té; gana 2P en uno de tus personajes.,,GDM/Recursos/Casa de té.png,
0165,Kom Ombo,,Recurso,Era I,1,,,Templo,INFLUENCIA: Cansa Kom Ombo; gana 1P en tu personaje mortal.,,GDM/Recursos/Kom Ombo.png,
0166,Rokstenen,,Recurso,Era I,1,,,,INFLUENCIA: Cansa Rokstenen; gana 1P.,,GDM/Recursos/Rokstenen.png,
0167,Pescadores,,Recurso,Era I,2,,,,INFLUENCIA: Cansa Pescadores; elimina 1P de la reserva de un oponente.,,GDM/Recursos/Pescadores.png,
0168,Karnak,,Recurso,Era I,2,,,Ciudad,INFLUENCIA: Cansa Karnak; mira la primera carta de un oráculo; puedes ponerla debajo de ese oráculo.,,GDM/Recursos/Karnak.png,
0169,Oráculo de Delfos,Griega,Recurso,Era I,3,,,Griego · Único,ENFRENTAMIENTO: Cansa oráculo de Delfos; gana 1P en cada uno de tus personajes en el campo de batalla.,,GDM/Recursos/Oráculo de Delfos.png,
0170,Planos de Arquitecto,,Recurso,Era I,1,,,,INFLUENCIA: Mueve uno de tus recursos en un oráculo a tu panteón eliminando tanto poder como su coste.,,GDM/Recursos/Planos de Arquitecto.png,
0171,Abu Simbel,,Recurso,Era I,1,,,Templo,"INFLUENCIA: Cansa Abu Simbel; gana 1P en tu personaje con la clave ""Dios"".",,GDM/Recursos/Abu Simbel.png,
0172,Ópera de Sidney,,Recurso,Era I,1,,,Único · Punto de poder,INFLUENCIA: Cansa Ópera de Sídney; el próximo evento revelado se descarta sin resolución.,,GDM/Recursos/Ópera de Sidney.png,
0173,Tebas,,Recurso,Era I,1,,,Ciudad,INFLUENCIA: Cambia uno de tus equipos entre dos de tus personajes ignorando su coste. (Debes cumplir las reglas de equipar),,GDM/Recursos/Tebas.png,
0174,Coliseo,,Recurso,Era I,1,,,Único · Punto de poder,"INFLUENCIA: Cansa Coliseo; da +1F a uno o dos personajes con la clave ""Héroe"".",,GDM/Recursos/Coliseo.png,
0175,Guiza,Egipcia,Recurso,Era I,3,,,Único · Egipto,INFLUENCIA: Cansa Guiza; gana 1P por cada recurso que controles; máximo 3.,,GDM/Recursos/Guiza.png,
0176,Mercado de Tebas,,Recurso,Era I,2,,,,Al equipar tus armas reduce su coste en 1P.,,GDM/Recursos/Mercado de Tebas.png,
0177,Inframundo,Neutral,Panteón,Era I,,,16,,"Tus personajes con la clave ""Demonio"" cuestan 2P menos.",,GDM/Neutrales/Inframundo.png,
0178,La Orden,Neutral,Panteón,Era I,,,29,,"No puedes ganar poder en tu reserva. Tus dioses tienen -2PM. INFLUENCIA: DA -2PM Permanentemente a un personaje con la clave ""Dios"".",,GDM/Neutrales/La Orden.png,,
0179,Grim'a'gor,Neutral,Personaje,Era I,5,2,7,Rátido · Samurai · Criatura,"INFLUENCIA: Da +1F a todos tus personajes con la clave ""Criatura"".",,GDM/Neutrales/Grim_a_gor.png,
0180,Drobbit,Neutral,Personaje,Era I,4,1,5,Embaucador,"ENFRENTAMIENTO: Mira una carta de un oráculo contrario; si es un evento resuélvelo como si fuera tuyo, déjalo sin revelar en el mismo oráculo.",,GDM/Neutrales/Drobbit.png,
0181,Alejandro,Neutral,Personaje,Era I,4,2,6,Guerrero · Emperador,ENFRENTAMIENTO: Elimina 1P de Alejandro; mueve a un enemigo a su panteón.,,GDM/Neutrales/Alejandro.png,
0182,Couger,Neutral,Personaje,Era I,4,2,6,Encadenado · Único,INFLUENCIA: Tus personajes no pueden ser controlados por otros jugadores este turno.,,GDM/Neutrales/Engwar.png,
0183,Engwar,Neutral,Personaje,Era I,4,2,6,Guerrero · Atlante ·Único,"INFLUENCIA: Cansa un personaje con la clave ""Demonio"".",,GDM/Neutrales/Couger.png,
0184,Urania,,Invocación,Era I,0,,-1,Musa · Única,ENFRENTAMIENTO: Elimina 1P en tu invocador; gana 2P.,,GDM/Invocaciones/Urania.png,
0185,Melóomene,,Invocación,Era I,0,,-1,Musa · Única,ENFRENTAMIENTO: Elimina 1P en tu invocador; prepara a tu personaje.,,GDM/Invocaciones/Melpómene.png,
0186,Euterpe,,Invocación,Era I,0,,-1,Musa · Única,"INFLUENCIA: Da +1F y +1P a un personaje con la clave ""Héroe"".",,GDM/Invocaciones/Euterpe.png,
0187,Sangre en el Nilo,,Invocación,Era I,0,,-2,Plaga · Única,INFLUENCIA: Cansa este invocador; cansa un recurso contrario.,,GDM/Invocaciones/Sangre en el Nilo.png,
0188,Caminos de Tehulí,,Invocación,Era I,0,,-2,Sacrificio · Única,INFLUENCIA: Descarta todas tus cartas; roba tantas cartas como descartaste menos una.,,GDM/Invocaciones/Caminos de Tehulí.png,
0189,Muerte de los primogenitos,,Invocación,Era I,0,,-1,Plaga · Única,INFLUENCIA: Destruye Muerte de los primogénitos y un personaje que controles; tus oponentes deben destruir un personaje con igual PM.,,GDM/Invocaciones/Muerte de los primogénitos.png,
0190,Clío,,Invocación,Era I,0,,-1,Musa · Único,ENFRENTAMIENTO: Gana 1P en tu personaje.,,GDM/Invocaciones/Clío.png,
0191,Sacrificio gladiatorio,,Invocación,Era I,0,,-2,Sacrificio · Único,INFLUENCIA: Da permanentemente una clave de un personaje en juego a uno de tus personajes.,,GDM/Invocaciones/Sacrificio gladiatorio.png,
0192,Disfraces de Xipe Totec,,Invocación,Era I,0,,-1,Sacrificio ·Único,INFLUENCIA: Tu invocador copia la habilidad de un recurso de un contrario.,,GDM/Invocaciones/Disfraces de Xipe Tótec.png,
0193,Talía,,Invocación,Era I,0,,-1,Musa · Única,ENFRENTAMIENTO: Mueve a tu personaje al campo de batalla.,,GDM/Invocaciones/Talía.png,
0194,Bake-Kujira,,Invocación,Era I,0,,-1,Espíritu · Único,ENFRENTAMIENTO: Elimina 1P de tu invocador; cansa a un personaje enemigo.,,GDM/Invocaciones/Bake-Kujira.png,
0195,Laguz ,,Invocación,Era I,0,,-1,Runa · Única,INFLUENCIA: Gana 1P en un personaje en tu oráculo.,,GDM/Invocaciones/Laguz.png,
0196,Los 100.000 de Huitzilipochtli,,Invocación,Era I,0,,0,Sacrificio · Único,INFLUENCIA: Tu invocador copia el poder máximo de un personaje enemigo.,,GDM/Invocaciones/Los 100.000 de Huitzilipochtli.png,
0197,Berkana,,Invocación,Era I,0,,-2,Runa · Única,INFLUENCIA: Gana 1P en un personaje en tu panteón.,,GDM/Invocaciones/Berkana.png,
0198,Mannaz,,Invocación,Era I,0,,-1,Runa · Única,ENFRENTAMIENTO: Mueve a tu mortal a tu panteón; gana 1P.,,GDM/Invocaciones/Mannaz.png,
0199,Nue,,Invocación,Era I,0,,-2,Espíritu · Único,ENFRENTAMIENTO: Equipa en uno de tus personajes un equipo de un personaje enemigo.,,GDM/Invocaciones/Nue.png,
0200,Tres dias de tinieblas,,Invocación,Era I,0,,-1,Plaga · Única,ENFRENTAMIENTO: Da -2F a un personaje enemigo.,,GDM/Invocaciones/Tres dias de tinieblas.png,
0201,Peste del ganado,,Invocación,Era I,0,,-1,Plaga · Única,INFLUENCIA: Destruye a tu personaje mortal; elimina 1P de la reserva de un contrario.,,GDM/Invocaciones/Peste del ganado.png,
0202,Fehu,,Invocación,Era I,0,,-1,Runa · Única,"INFLUENCIA: Da la clave ""Guerrero"" a un personaje.",,GDM/Invocaciones/Fehu.png,
0203,Basan,,Invocación,Era I,0,,-1,Espíritu · Único,ENFRENTAMIENTO: Cansa a tu invocador; el adversario elige si cansa uno de sus dioses o elimina 2P en él.,,GDM/Invocaciones/Basan.png,
0204,Byakko,,Invocación,Era I,0,,-2,Espíritu · Único,ENFRENTAMIENTO: Copia la habilidad de un personaje enemigo.,,GDM/Invocaciones/Byakko.png,
0205,Símbolo acano,,Invocación,Era I,0,,-1,Única,INFLUENCIA: Gana 1P.,,GDM/Invocaciones/Símbolo arcano.png,
0206,Lámpara de Alhazred,,Invocación,Era I,0,,-2,Única,INFLUENCIA: Tu personaje ignora el coste de P al asignarse al campo de batalla.,,GDM/Invocaciones/Lámpara de Alhazred.png,
0207,Trapezoedro brillante,,Invocación,Era I,0,,-2,Única,ENFRENTAMIENTO: Mueve a tu panteón un recurso en tu descarte eliminando tanto P como su coste.,,GDM/Invocaciones/Trapezoedro brillante.png,
0208,Droga plutonica,,Invocación,Era I,0,,-3,Única,"INFLUENCIA: Destruye Droga plutónica; los personajes con la clave ""Loco"" ignoran el coste de P al asignarse al campo de batalla.",,GDM/Invocaciones/Droga plutonica.png,
0209,Amikiri,,Invocación,Era I,0,,-1,Espíritu · Único,INFLUENCIA: Cansa tu invocador; elige a un enemigo que no puede asignarse este turno al campo de batalla.,,GDM/Invocaciones/Amikiri.png,
0210,Plaga de langostas,,Invocación,Era I,0,,-3,Plaga · Única,ENFRENTAMIENTO: Destruye Plaga de langostas; todos los jugadores eliminan tanto P como oráculos posean.,,GDM/Invocaciones/Plaga de langostas.png,
0211,Eis,,Invocación,Era I,0,,-1,Runa · Única,"ENFRENTAMIENTO: Elimina 1P en tu invocador, elige a un personaje enmigo; muévelo a su panteón.",,GDM/Invocaciones/Eis.png,
0212,Átlatl,,Equipo,Era I,2,0,-1,Veneno,INFLUENCIA: Da -1PM permanente a un personaje enemigo.,,GDM/Equipos/Átlatl.png,
0213,Talismán de fuego,,Equipo,Era I,2,0,1,Fuego · Único,Cuesta 1P menos para Amateratsu. INFLUENCIA: Elige a un personaje enmigo; elimina 1P en él.,,GDM/Equipos/Talismán de fuego.png,
0214,Antorcha,,Equipo,Era I,2,1,0,Arma,ENFRENTAMIENTO: Elimina 1P en un personaje enemigo si no tiene el trato fuego.,,GDM/Equipos/Antorcha.png,
0215,Origami,,Equipo,Era I,2,0,0,,INFLUENCIA: Cansa Origami; mueve 1P de la reserva de tu oponente a un personaje enmigo.,,GDM/Equipos/Origami.png,
0216,Talismán de tierra,,Equipo,Era I,2,0,1,Tierra · Único,Cuesta 1P menos para Ame-no-oshido-mimi. INFLUENCIA: Da -1F a un personaje enemigo.,,GDM/Equipos/Talismán de tierra.png,
0217,Mjolnir,Nórdica,Equipo,Era I,3,3,1,Arma · Nórdica · Única,Solo se puede equipar a un dios. Cuesta 1P menos para Thor.,,GDM/Equipos/Mjolnir.png,
0218,Amuleto de Kinnevy,Nórdica,Equipo,Era I,3,1,1,Nórdico · Único,ENFRENTAMIENTO: Cansa amuleto de Kinnevy; prepara este personaje.,,GDM/Equipos/Amuleto de Kinnevy.png,
0219,Cuatepoztli,,Equipo,Era I,1,0,0,,INFLUENCIA: Da -1PM permanenete a tu personame (mínimo de 0); gana 1P.,,GDM/Equipos/Cuatepoztli.png,
0220,Macuahuitl,Azteca,Equipo,Era I,3,3,1,Arma · Única · Azteca,Solo se puede equipar a un dios. Cuesta 1P menos para Huitzilopochtli.,,GDM/Equipos/Macuahuitl.png,
0221,Manzana de la discordia,,Equipo,Era I,2,0,1,,INFLUENCIA: Destruye este equipo; roba 2 cartas.,,GDM/Equipos/La manzana de la discordia.png,
0222,Tridente,Griega,Equipo,Era I,3,3,1,Arma · Griega · Única,Solo se puede equipar a un Dios. Cuesta 1P menos para Poseidón.,,GDM/Equipos/Tridente.png,
0223,Pegaso,,Equipo,Era I,2,1,0,,Este personaje tiene la clave Guerrero y Héroe. ENFRENTAMIENTO: Elimina 1P de este personaje; muévelo al compo de batalla.,,GDM/Equipos/Pegaso.png,
0224,Hacha,,Equipo,Era I,2,2,-1,Arma,,,GDM/Equipos/Hacha.png,
0225,Máscara,,Equipo,Era I,1,0,0,,Este personaje tiene la clave Loco. ENFRENTAMIENTO: Cansa un personaje con la clave Loco.,,GDM/Equipos/Máscara.png,
0226,Yata no kagami,,Equipo,Era I,2,0,2,Única · Oricalco,Solo puede equiparse a un Dios. INFLUENCIA: Elimina hasta 3P de tus personajes preparados gana tanto P como has eliminado.,,GDM/Equipos/Yata no kagami.png,
0227,Vermiis misteriis,,Equipo,Era I,2,0,-1,Libro,ENFRENTAMIENTO: Destruye Verniis Misteriis; este personaje gana tanto P como sea necesario para llegar a su PM.,,GDM/Equipos/Vermiis misteriis.png,
0228,Culte des goules,,Equipo,Era I,2,0,1,Único · Libro,ENFRENTAMIENTO: Destruye culte des Goules; todos los jugadores eliminan 1P por cada evento en su descarte (máximo 3).,,GDM/Equipos/Culte des goules.png,
0229,Rayo,,Equipo,Era I,2,0,0,Arma · Única,ENFRENTAMIENTO: Cansa a un personaje con menos PM que este personaje.,,GDM/Equipos/Rayo.png,
0230,Daga sacrificio,,Equipo,Era I,2,1,1,,,,GDM/Equipos/Daga sacrificio.png,
0231,Katana de Hachiman,,Equipo,Era I,3,3,1,Arma · Japonesa · Única,Solo se puede equipar a un Dios. Cuesta 1P menos para Hachiman.,,GDM/Equipos/Katana de Hachiman.png,
0232,Ambrosía,,Equipo,Era I,1,0,2,,Este personaje tiene la clave Dios.,,GDM/Equipos/Ambrosía.png,
0233,Talismán de aire,,Equipo,Era I,2,0,1,Aire · Único,"Cuesta 1P menos para Takami-misubi. INFLUENCIA: Prepara un recurso de coste 2 o menos, puedes volver a usarlo este turno.",,GDM/Equipos/Talismán de aire.png,
0234,Talismán de agua,,Equipo,Era I,2,0,1,Agua · Único,Cuesta 1P menos para Ame-no-mi-Kurami. ENFRENTAMIENTO: Elimina 1P de éste personaje; puedes volver a poder jugar su habilidad.,,GDM/Equipos/Talismán de agua.png,
0235,Yoroi,,Equipo,Era I,2,0,1,Armadura,ENFRENTAMIENTO: Gana 1P en este personaje.,,GDM/Equipos/Yoroi.png,
0236,Armadura Nórdica,,Equipo,Era I,1,0,1,Armadura,INFLUENCIA: Elimina 1P de este personaje; gana 1P.,,GDM/Equipos/Armadura Nórdica.png,
0237,Chimalli,,Equipo,Era I,2,0,2,,Este personaje tiene la clave Invocador.,,GDM/Equipos/Chimalli.png,
0238,Amset,,Equipo,Era I,1,-1,-1,Único,Tus transferencias aumentan en 1.,,GDM/Equipos/Amset.png,
0239,Vara de Hermes,,Equipo,Era I,2,1,1,Arma · Única,ENFRENTAMIENTO: Gana 1P por cada arma equipada en tus personajes.,,GDM/Equipos/Vara de Hermes.png,
0240,Libro de Los muertos,Egipcia,Equipo,Era I,3,1,2,Único ·Egipcio,IFLUENCIA: Mueve a tu personaje del descarte a tu panteón eliminando tanto poder como su coste.,,GDM/Equipos/Libro de muertos.png,
0241,Duamutef,,Equipo,Era I,1,-1,-1,Única,ENFRENTAMIENTO: Roba una carta.,,GDM/Equipos/Duamutef.png,
0242,Hapy,,Equipo,Era I,1,-1,-1,Único,Todas las transferencias se reducen en 1.,,GDM/Equipos/Hapy.png,
0243,Kebehsenuf,,Equipo,Era I,1,-1,-1,Único,ENFRENTAMIENTO: Gana 2P en este personaje.,,GDM/Equipos/Kebehsenuf.png,
0244,Maza del Rey Escorpión,,Equipo,Era I,2,1,1,Arma,ENFRENTAMIENTO: Elimina los penalizadores de fuerza de este personaje.,,GDM/Equipos/Maza del Rey Escorpion.png,
0245,Yari,,Equipo,Era I,2,1,0,Arma,INFLUENCIA: Cansa un equipo.,,GDM/Equipos/Yari.png,
0246,Lanza de plata,,Equipo,Era I,2,1,0,Arma,"Este personaje tiene la clave ""Ashigaru"" INFLUENCIA: Elimina 2P de este personaje; prepara a tu personaje.",,GDM/Equipos/Lanza de plata.png,
0247,Auriga,,Equipo,Era I,2,1,0,Carruaje,ENFRENTAMIENTO: Mueve a este personaje al campo de batalla si ha estado allí este turno.,,GDM/Equipos/Auriga.png,
0248,Capa de Tanabata,,Equipo,Era I,2,0,0,Armadura,INFLUENCIA: Da +1PM(permanente) a este personaje.,,GDM/Equipos/Capa de Tanabata.png,
0249,Libro de Eibon,,Equipo,Era I,1,0,0,Libro,INFLUENCIA: Destruye el libro de Eibon; reordena uno de tus oráculos.,,GDM/Equipos/Libro de Eibon.png,
0250,Huitzauhqui,,Equipo,Era I,2,1,0,Arma · Única · Oricalco,Solo se puede equipar a un Dios. INFLUENCIA: Copia la habilidad de un equipo contrario.,,GDM/Equipos/Huitzauhqui.png,
0251,Arco de ítaca,,Equipo,Era I,2,1,0,Arma,"Cuesta 1P menos para personajes con la clave ""Héroe"". ENFRENTAMIENTO: Cansa un personaje enemigo.",,GDM/Equipos/Arco de ítaca.png,
0252,Ojo de Ra,Egipcia,Equipo,Era I,2,1,0,Arma · Única · Oricalco,Solo puede equiparse a un Dios. INFLUENCIA: Elimina 2P de tu mortal; da +2F a este personaje.,,GDM/Equipos/Ojo de Ra.png,
0253,Sleipnir,,Equipo,Era I,2,0,1,,ENFRENTAMIENTO: Elimina 1P de este personaje; mueve un mortal de tu descarte al campo de batalla.,,GDM/Equipos/Sleipnir.png,
0254,Carro de Nodens,,Equipo,Era I,2,1,0,Carruaje,"ENFRENTAMIENTO: Mueve un personaje de otro jugador al campo de batalla, en este momento el debe decidir que ejercito lo controla.",,GDM/Equipos/Carro de Nodens.png,
0255,Vellocino dorado,,Equipo,Era I,2,0,1,Única · Oricalco,Solo puede equiparse a un Dios. INFLUENCIA: Elimina 1P de este personaje; cansa un recurso.,,GDM/Equipos/Vellocino dorado.png,
0256,Necronomicón,Primigenia,Equipo,Era I,2,0,-2,Único · Libro · Mitos de Cthulhu,INFLUENCIA: Cansa X mortales que controles; gana XP en un personaje con la clave Primigenio en tu oráculo.,,GDM/Equipos/Necronomicón.png,
0257,Gungnir,,Equipo,Era I,2,1,0,Arma · Única · Oricalco,Solo puede equiparse a un Dios. INFLUENCIA: Elimina 1P de este personaje; prepáralo.,,GDM/Equipos/Gungnir.png,
0258,Pulque,,Equipo,Era I,0,0,-1,,Este personaje no puede usar su habilidad impresa. INFLUENCIA: Elimina 1P de este personaje y cansalo; equipa Pulque a un personaje enemigo.,,GDM/Equipos/Pulque.png,
0259,Dardo,,Acción,Era I,0,,,,INFLUENCIA: Da -2PM permanente a un personaje enemigo.,,GDM/Acciones/Dardo.png,
0260,La sandalia de Nitocris,,Acción,Era I,1,,,,INFLUENCIA: Crea un nuevo oráculo con una carta descartada de otro jugador.,,GDM/Acciones/La sandalia de Nitocris.png,
0261,Ritual del guerrero,,Acción,Era I,0,,,,INFLUENCIA: Destruye un personaje con PM 0.,,GDM/Acciones/Ritual del guerrero.png,
0262,Incendio,,Acción,Era I,0,,,,ENFRENTAMIENTO: Elimina 1P de cada uno de los personaje en el campo de batalla.,,GDM/Acciones/Incendio.png,
0263,Ratas,,Acción,Era I,0,,,,ENFRENTAMIENTO: Da -1PM (permanente) a todos los personajes en el campo de batalla.,,GDM/Acciones/Ratas.png,
0264,La venganza de las Erinias,,Acción,Era I,1,,,Entorno,ENFRENTAMIENTO: Cada jugador que participe en este enfrentamiento elimina tanto poder como personajes tenga en su panteón,,GDM/Acciones/La venganza de las Erinias.png,
0265,Paz impuesta,,Acción,Era I,0,,,,INFLUENCIA: Elimina 1P de un personaje enemigo.,,GDM/Acciones/Paz impuesta.png,
0266,La nave blanca,,Acción,Era I,0,,,,INFLUENCIA: Gana 1P por cada recurso en tu panteón (máximo 3). ,,GDM/Acciones/La nave blanca.png,
0267,Cabeza de Medusa,,Acción,Era I,2,,,,INFLUENCIA: Agota a un personaje enemigo.,,GDM/Acciones/Cabeza de Medusa.png,
0268,Aniquilación,,Acción,Era I,0,,,,ENFRENTAMIENTO: Destruye a un mortal agotado.,,GDM/Acciones/Aniquilacion.png,
0269,Expulsión,,Acción,Era I,1,,,,ENFRENTAMIENTO: Mueve a un personaje enemigo a su panteón.,,GDM/Acciones/Expulsion.png,
0270,Inspiración,,Acción,Era I,0,,,,ENFRENTAMIENTO: Tu personaje mortal gana tantos puntos de poder como sean necesarios para llegar a su poder máximo.,,GDM/Acciones/Inspiracion.png,
0271,Jack,,Acción,Era I,0,,,,"INFLUENCIA: Copia en uno de tus personajes o elimina de un personaje en juego permanentemente, una clave.",,GDM/Acciones/Jack.png,
0272,Los siete escorpiones,,Acción,Era I,1,,,,ENFRENTAMIENTO: Redistribuye todo el poder de tus personajes.,,GDM/Acciones/Los siete escorpiones.png,
0273,Gavilán de obsidiana,,Acción,Era I,1,,,,ENFRENTAMIENTO: Destruye a tu personaje mortal; destruye a un mortal enemigo.,,GDM/Acciones/Gavilan de obsidiana.png,
0274,Karonte,,Acción,Era I,2,,,,INFLUENCIA: Mueve a un personaje mortal de tu descarte a tu panteón.,,GDM/Acciones/Karonte.png,
0275,Reforzar líneas,,Acción,Era I,1,,,,ENFRENTAMIENTO: Mueve a tu personaje al campo de batalla.,,GDM/Acciones/Reforzar lineas.png,
0276,Konibori,,Acción,Era I,0,,,,"INFLUENCIA: Cambia una habilidad de un personaje de ""INFLUENCIA"" a ""ENFRENTAMIENTO"".",,GDM/Acciones/Konibori.png,
0277,Mitsudomoe,,Acción,Era I,1,,,,ENFRENTAMIENTO: Gana 2P en tu personaje y elimina 2P en un personaje enemigo.,,GDM/Acciones/Mitsudomoe.png,
0278,Último aliento,,Acción,Era I,1,,,,ENFRENTAMIENTO: Da +3F a tu personaje destrúyelo después de la resolución de enfrentamiento.,,GDM/Acciones/Ultimo aliento.png,
0279,El morador de las tinieblas,,Acción,Era I,1,,,,INFLUENCIA: Devuelve un equipo a la mano de su propietario,,GDM/Acciones/El morador de las tinieblas.png,
0280,Posesión infernal,,Acción,Era I,0,,,,INFLUENCIA: Da permanentemente la clave Demonio a un personaje en un panteón o un oráculo.,,GDM/Acciones/Posesion infernal.png,
0281,El Sabueso,,Acción,Era I,1,,,,ENFRENTAMIENTO: Da +1F a tu personaje por cada evento en el descarte de un contrario (máximo 3).,,GDM/Acciones/El Sabueso.png,
0282,Las montañas de la locura,,Acción,Era I,1,,,,ENFRENTAMIENTO: Este turno no se pueden realizar más acciones que muevan personajes a o desde el campo de batalla.,,GDM/Acciones/Las montañas de la locura.png,
0283,El despertar,,Acción,Era I,1,,,,INFLUENCIA: Gana 2P en un dios en tu oráculo,,GDM/Acciones/El despertar.png,
0284,Ciclo del sueño,,Acción,Era I,1,,,,ENFRENTAMIENTO: Crea hasta tres nuevos oráculos con un recurso o personaje de tu descarte.,,GDM/Acciones/Ciclo del sueño.png,
0285,La cripta,,Acción,Era I,0,,,,INFLUENCIA: Descarta una carta no revelada en un oráculo,,GDM/Acciones/La cripta.png,
0286,En la noche de los tiempos,,Acción,Era I,1,,,,INFLUENCIA: Este turno no se pueden usar habilidades de los panteones.,,GDM/Acciones/En la noche de los tiempos.png,
0287,La caída de Baldr,,Acción,Era I,0,,,,"INFLUENCIA: Cambia la resolución del enfrentamiento de este turno por: ""Destruye un personaje enemigo con poder máximo igual o menor al diferencial de victoria"".",,GDM/Acciones/La caida de Baldr.png,
0288,Deuda de honor,,Acción,Era I,1,,,,INFLUENCIA: Usa inmediatamente la habilidad de un recurso contrario como si fuera uno de tus recursos.,,GDM/Acciones/Deuda de honor.png,
0289,Nyar llama a su puerta,,Acción,Era I,0,,,Batalla,"INFLUENCIA: Cambia la resolución de este enfrentamiento por: ""el jugador que gane elimina una habilidad de un panteón"". ",,GDM/Acciones/Nyar llama a su puerta.png,
0290,Legiones de la tumba,,Acción,Era I,1,,,,INFLUENCIA: Crea dos personajes sectario 0F/0P/1PM.,,GDM/Acciones/Legiones de la tumba.png,
0291,Dolor y vida,,Acción,Era I,1,,,,ENFRENTAMIENTO: Da -XPM (máximo 3 y no puede bajar de 0) permanente a tu invocador; dale +XF.,,GDM/Acciones/Dolor y vida.png,
0292,Invasión,,Acción,Era I,2,,,Entorno,ENFRENTAMIENTO: Destruye un recurso.,,GDM/Acciones/Invasion.png,
0293,Destrucción,,Acción,Era I,1,,,,ENFRENTAMIENTO: Da -1F a todos los personajes con la clave Dios.,,GDM/Acciones/Destruccion.png,
0294,Canción de los cielos,,Acción,Era I,1,,,,ENFRENTAMIENTO: Cansa tu personaje; cansa dos personajes enemigos con igual o menor PM.,,GDM/Acciones/Cancion de los cielos.png,
0295,La bestia en la cueva,,Acción,Era I,1,,,,INFLUENCIA: Cansa un mortal.,,GDM/Acciones/La bestia en la cueva.png,
0296,Los gatos de Ulthar,,Acción,Era I,1,,,,INFLUENCIA: Elige un personaje; ninguna acción puede hacerle objetivo.,,GDM/Acciones/Los gatos de Ulthar.png,
0297,Criadores de cocodrilo,,Acción,Era I,0,,,,INFLUENCIA: Cansa un equipo.,,GDM/Acciones/Criaderos de cocodrilo.png,
0298,Nueva droga,,Acción,Era I,1,,,,INFLUENCIA: Mira la mano de un contrario.,,GDM/Acciones/Nueva droga.png,
0299,Ladina fortuna,,Acción,Era I,1,,,,ENFRENTAMIENTO: Descarta una carta; roba dos cartas.,,GDM/Acciones/Ladina fortuna.png,
0300,Eclipse,,Acción,Era I,2,,,,INFLUENCIA: Todos los jugadores eliminan 1P por cada acción de INFLUENCIA que realicen.,,GDM/Acciones/Eclipse.png,
